Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
100000       | 99775        | 46856        | List         | 0,241800 ms          | 0,000300 ms          | 24,681900 ms         | 24,681600 ms        Binært søk 806,00 ganger raskere. Med sortering: Lineært søk 102,08 ganger raskere.
100000       | 99775        | ------       | LinkedList   | 0,502300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | Nonexistent  | Array        | 0,151000 ms          | 0,000300 ms          | 17,454000 ms         | 17,453700 ms        Binært søk 503,33 ganger raskere. Med sortering: Lineært søk 115,59 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,327800 ms          | 0,000300 ms          | 28,391900 ms         | 28,391600 ms        Binært søk 1092,67 ganger raskere. Med sortering: Lineært søk 86,61 ganger raskere.
100000       | Nonexistent  | ------       | LinkedList   | 0,575000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | Nonexistent  | Array        | 0,189200 ms          | 0,000300 ms          | 16,409300 ms         | 16,409000 ms        Binært søk 630,67 ganger raskere. Med sortering: Lineært søk 86,73 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,370200 ms          | 0,000200 ms          | 22,881900 ms         | 22,881700 ms        Binært søk 1851,00 ganger raskere. Med sortering: Lineært søk 61,81 ganger raskere.
100000       | Nonexistent  | ------       | LinkedList   | 0,366800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | Nonexistent  | Array        | 0,126300 ms          | 0,000300 ms          | 18,664300 ms         | 18,664000 ms        Binært søk 421,00 ganger raskere. Med sortering: Lineært søk 147,78 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,304400 ms          | 0,000400 ms          | 23,011900 ms         | 23,011500 ms        Binært søk 761,00 ganger raskere. Med sortering: Lineært søk 75,60 ganger raskere.
100000       | Nonexistent  | ------       | LinkedList   | 0,351900 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | 650543       | 329380       | Array        | 0,790900 ms          | 0,000800 ms          | 169,594200 ms        | 169,593400 ms       Binært søk 988,62 ganger raskere. Med sortering: Lineært søk 214,43 ganger raskere.
1000000      | 650543       | 329380       | List         | 1,656300 ms          | 0,000500 ms          | 266,862600 ms        | 266,862100 ms       Binært søk 3312,60 ganger raskere. Med sortering: Lineært søk 161,12 ganger raskere.
1000000      | 650543       | ------       | LinkedList   | 2,059600 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | 268989       | 778798       | Array        | 0,324300 ms          | 0,000300 ms          | 183,389200 ms        | 183,388900 ms       Binært søk 1081,00 ganger raskere. Med sortering: Lineært søk 565,49 ganger raskere.
1000000      | 268989       | 778798       | List         | 0,708100 ms          | 0,006000 ms          | 261,427900 ms        | 261,421900 ms       Binært søk 118,02 ganger raskere. Med sortering: Lineært søk 369,20 ganger raskere.
1000000      | 268989       | ------       | LinkedList   | 0,902700 ms          | ------ ms            | ------ ms            | ------ ms           
