Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | Not found    | Not found    | Array        | 0,002000             | 0,000200 ms          | 0,140600 ms          | 0,140400 ms         Binært søk 10,00 ganger raskere. Med sortering: Lineært søk 70,30 ganger raskere.
10000        | 824          | 1567         | Array        | 0,001900             | 0,000200 ms          | 1,803700 ms          | 1,803500 ms         Binært søk 9,50 ganger raskere. Med sortering: Lineært søk 949,32 ganger raskere.
10000        | 6124         | 3049         | Array        | 0,009900             | 0,000200 ms          | 1,463300 ms          | 1,463100 ms         Binært søk 49,50 ganger raskere. Med sortering: Lineært søk 147,81 ganger raskere.
10000        | 1754         | 5934         | Array        | 0,003400             | 0,000200 ms          | 1,647300 ms          | 1,647100 ms         Binært søk 17,00 ganger raskere. Med sortering: Lineært søk 484,50 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,019500             | 0,000200 ms          | 1,363000 ms          | 1,362800 ms         Binært søk 97,50 ganger raskere. Med sortering: Lineært søk 69,90 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,017700             | 0,000200 ms          | 1,361900 ms          | 1,361700 ms         Binært søk 88,50 ganger raskere. Med sortering: Lineært søk 76,94 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,019200             | 0,000200 ms          | 1,352800 ms          | 1,352600 ms         Binært søk 96,00 ganger raskere. Med sortering: Lineært søk 70,46 ganger raskere.
100000       | 90058        | 96527        | Array        | 0,171900             | 0,000300 ms          | 13,215100 ms         | 13,214800 ms        Binært søk 573,00 ganger raskere. Med sortering: Lineært søk 76,88 ganger raskere.
100000       | 1359         | 66855        | Array        | 0,002400             | 0,000200 ms          | 19,191300 ms         | 19,191100 ms        Binært søk 12,00 ganger raskere. Med sortering: Lineært søk 7996,38 ganger raskere.
100000       | 53165        | 52445        | Array        | 0,064100             | 0,000500 ms          | 24,462300 ms         | 24,461800 ms        Binært søk 128,20 ganger raskere. Med sortering: Lineært søk 381,63 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,216900             | 0,000100 ms          | 17,052600 ms         | 17,052500 ms        Binært søk 2169,00 ganger raskere. Med sortering: Lineært søk 78,62 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,155300             | 0,000200 ms          | 16,979800 ms         | 16,979600 ms        Binært søk 776,50 ganger raskere. Med sortering: Lineært søk 109,34 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,120600             | 0,000200 ms          | 16,454100 ms         | 16,453900 ms        Binært søk 603,00 ganger raskere. Med sortering: Lineært søk 136,44 ganger raskere.
