Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | 3            | ------       | LinkedList   | 0,390700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 281          | ------       | LinkedList   | 0,002400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 527          | ------       | LinkedList   | 0,003200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,005500 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 1924         | ------       | LinkedList   | 0,010300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 6465         | ------       | LinkedList   | 0,027600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 5251         | ------       | LinkedList   | 0,021700 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,050400 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,040900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041100 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 17297        | ------       | LinkedList   | 0,086100 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 39475        | ------       | LinkedList   | 0,197600 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 31565        | ------       | LinkedList   | 0,160300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,586900 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,621200 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,334400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 33           | ------       | LinkedList   | 0,285200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 162          | ------       | LinkedList   | 0,001400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 52           | ------       | LinkedList   | 0,000700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,006700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,007200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,008300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 2092         | ------       | LinkedList   | 0,011600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 3277         | ------       | LinkedList   | 0,021500 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 199          | ------       | LinkedList   | 0,001800 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041400 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041700 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 44704        | ------       | LinkedList   | 0,231000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 29125        | ------       | LinkedList   | 0,167500 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 47862        | ------       | LinkedList   | 0,192700 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,395800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,342800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,384600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 459          | ------       | LinkedList   | 0,295600             | ------               | ------               | ------              
1000         | 36           | ------       | LinkedList   | 0,000500             | ------               | ------               | ------              
1000         | 379          | ------       | LinkedList   | 0,001900             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,004900             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,005900             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,004800             | ------               | ------               | ------              
10000        | 259          | ------       | LinkedList   | 0,001700             | ------               | ------               | ------              
10000        | 1176         | ------       | LinkedList   | 0,006200             | ------               | ------               | ------              
10000        | 5839         | ------       | LinkedList   | 0,024000             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,041300             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,062100             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,059100             | ------               | ------               | ------              
100000       | 91638        | ------       | LinkedList   | 0,459300             | ------               | ------               | ------              
100000       | 30227        | ------       | LinkedList   | 0,222500             | ------               | ------               | ------              
100000       | 20226        | ------       | LinkedList   | 0,057300             | ------               | ------               | ------              
100000       | Not found    | ------       | LinkedList   | 0,399800             | ------               | ------               | ------              
100000       | Not found    | ------       | LinkedList   | 0,334700             | ------               | ------               | ------              
100000       | Not found    | ------       | LinkedList   | 0,338300             | ------               | ------               | ------              
1000         | 365          | ------       | LinkedList   | 0,287500             | ------               | ------               | ------              
1000         | 875          | ------       | LinkedList   | 0,003900             | ------               | ------               | ------              
1000         | 79           | ------       | LinkedList   | 0,000600             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,004800             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,005000             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,007500             | ------               | ------               | ------              
10000        | 1863         | ------       | LinkedList   | 0,012100             | ------               | ------               | ------              
10000        | 3362         | ------       | LinkedList   | 0,020700             | ------               | ------               | ------              
10000        | 1161         | ------       | LinkedList   | 0,006500             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,040800             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,058600             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,058700             | ------               | ------               | ------              
100000       | 25564        | ------       | LinkedList   | 0,129400             | ------               | ------               | ------              
100000       | 34339        | ------       | LinkedList   | 0,173700             | ------               | ------               | ------              
100000       | 21590        | ------       | LinkedList   | 0,109900             | ------               | ------               | ------              
100000       | Not found    | ------       | LinkedList   | 0,601100             | ------               | ------               | ------              
100000       | Not found    | ------       | LinkedList   | 0,276400             | ------               | ------               | ------              
100000       | Not found    | ------       | LinkedList   | 0,305500             | ------               | ------               | ------              
1000         | 924          | ------       | LinkedList   | 0,292600             | ------               | ------               | ------              
1000         | 348          | ------       | LinkedList   | 0,002000             | ------               | ------               | ------              
1000         | 342          | ------       | LinkedList   | 0,001900             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,004600             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,005700             | ------               | ------               | ------              
1000         | Not found    | ------       | LinkedList   | 0,004600             | ------               | ------               | ------              
10000        | 1610         | ------       | LinkedList   | 0,008700             | ------               | ------               | ------              
10000        | 5448         | ------       | LinkedList   | 0,022900             | ------               | ------               | ------              
10000        | 3138         | ------       | LinkedList   | 0,013200             | ------               | ------               | ------              
10000        | Not found    | ------       | LinkedList   | 0,040600             | ------               | ------               | ------              
